Loop/Rec Name,Field Name,Description,Type,Dec,Format,Start,End,Length,Occ,Mapped,Default Value,Correlation,Comments,Spec Logic
,S5_FLR5,,AN,,,25,25,1,O,,,,,
,S505,,N,,R,26,35,10,O,,,,,
,S5_FLR6,,AN,,,36,36,1,O,,,,,
,S506,,AN,,,37,38,2,O,,,,,
,S5_FLR7,,AN,,,39,39,1,O,,,,,
,S507,,N,,R,40,47,8,O,,,,,
,S5_FLR8,,AN,,,48,48,1,O,,,,,
,S508,,AN,,,49,49,1,O,,,,,
,S5_FLR9,,AN,,,50,50,1,O,,,,,
,S509,,AN,,,51,130,80,O,,,,,
,S5_FLR10,,AN,,,131,131,1,O,,,,,
,S510,,AN,,,132,140,9,O,,,,,
,S5_FLR11,,AN,,,141,141,1,O,,,,,
,S511,,AN,,,142,142,1,O,,,,,
,S5_FILLER,,AN,,,143,1166,1024,O,,,,,
L11S,,,RC,,,,,,0 .. 1,,,,,
,L11S_RecordID,,RT,,,1,4,4,M,,"""L11""","""L11""",,
,L11S_FLR1,,AN,,,5,5,1,O,,,,,
,L11S_L1101,,AN,,,6,55,50,O,,,,,
,L11S_FLR2,,AN,,,56,56,1,O,,,,,
,L11S_L1102,,AN,,,57,59,3,O,,,,,
,L11S_FLR3,,AN,,,60,60,1,O,,,,,
,L11S_L1103,,AN,,,61,140,80,O,,,,,
,L11S_FLR4,,AN,,,141,141,1,O,,,,,
,L11S_L1104,,DT,,YYYYMMDD,142,149,8,O,,,,,
,L11S_FLR5,,AN,,,150,150,1,O,,,,,
,L11S_L1105,,AN,,,151,151,1,O,,,,,
,L11S_FILLER,,AN,,,152,1175,1024,O,,,,,
G62S,,,RC,,,,,,0 .. 1,,,,,
,G62S_RecordID,,AN,,,1,4,4,M,,"""G62""","""G62""",,
,G62S_FLR1,,AN,,,5,5,1,O,,,,,
,G62S_G6201,,AN,,,6,7,2,O,,,,,
,G62S_FLR2,,AN,,,8,8,1,O,,,,,
,G62S_G6202,,DT,,YYYYMMDD,9,16,8,O,,,,,
,G62S_FLR3,,AN,,,17,17,1,O,,,,,
,G62S_G6203,,AN,,,18,19,2,O,,,,,
,G62S_FLR4,,AN,,,20,20,1,O,,,,,
,G62S_G6204,,TM,,HHMM,21,28,8,O,,,,,
,G62S_FLR5,,AN,,,29,29,1,O,,,,,
,G62S_G6205,,AN,,,30,31,2,O,,,,,
,G62S_FILLER,,AN,,,32,1055,1024,O,,,,,
N1S_GRP,,,LS,,,,,,0 .. *,,,,,
N1S,,,RC,,,,,,0 .. 1,,,,,
,N1S_RecordID,,RT,,,1,4,4,M,,"""N1""","""N1""",,
,N1S_FLR1,,AN,,,5,5,1,O,,,,,
,N1S_N101,,AN,,,6,8,3,O,,,,,
,N1S_FLR2,,AN,,,9,9,1,O,,,,,
,N1S_N102,,AN,,,10,69,60,O,,,,,
,N1S_FLR3,,AN,,,70,70,1,O,,,,,
,N1S_N103,,AN,,,71,72,2,O,,,,,
,N1S_FLR4,,AN,,,73,73,1,O,,,,,
,N1S_N104,,AN,,,74,153,80,O,,,,,
,N1S_FLR5,,AN,,,154,154,1,O,,,,,
,N1S_N105,,AN,,,155,156,2,O,,,,,
,N1S_FLR6,,AN,,,157,157,1,O,,,,,
,N1S_N106,,AN,,,158,160,3,O,,,,,
,N1S_FILLER,,AN,,,161,1184,1024,O,,,,,
N2S,,,RC,,,,,,0 .. 1,,,,,
,N2S_RecordID,,RT,,,1,4,4,M,,"""N2""","""N2""",,
,N2S_FLR1,,AN,,,5,5,1,O,,,,,
,N2S_N201,,AN,,,6,65,60,O,,,,,
,N2S_FLR2,,AN,,,66,66,1,O,,,,,
,N2S_N202,,AN,,,67,126,60,O,,,,,
,N2S_FILLER,,AN,,,127,1150,1024,O,,,,,
N3S,,,RC,,,,,,0 .. 1,,,,,
,N3S_RecordID,,RT,,,1,4,4,M,,"""N3""","""N3""",,
,N3S_FLR1,,AN,,,5,5,1,O,,,,,
,N3S_N301,,AN,,,6,60,55,O,,,,,
,N3S_FLR2,,AN,,,61,61,1,O,,,,,
,N3S_N302,,AN,,,62,116,55,O,,,,,
,N3S_FILLER,,AN,,,117,1140,1024,O,,,,,
N4S,,,RC,,,,,,0 .. 1,,,,,
,N4S_RecordID,,RT,,,1,4,4,M,,"""N4""","""N4""",,
,N4S_FLR1,,AN,,,5,5,1,O,,,,,
,N4S_N401,,AN,,,6,35,30,O,,,,,
,N4S_FLR2,,AN,,,36,36,1,O,,,,,
,N4S_N402,,AN,,,37,38,2,O,,,,,
,N4S_FLR3,,AN,,,39,39,1,O,,,,,
,N4S_N403,,AN,,,40,54,15,O,,,,,
,N4S_FLR4,,AN,,,55,55,1,O,,,,,
,N4S_N404,,AN,,,56,58,3,O,,,,,
,N4S_FLR5,,AN,,,59,59,1,O,,,,,
,N4S_N405,,AN,,,60,61,2,O,,,,,
,N4S_FLR6,,AN,,,62,62,1,O,,,,,
,N4S_N406,,AN,,,63,92,30,O,,,,,
,N4S_FLR7,,AN,,,93,93,1,O,,,,,
,N4S_N407,,AN,,,94,96,3,O,,,,,
,N4S_FILLER,,AN,,,97,1120,1024,O,,,,,
END_N1S_GRP,,,LE,,,,,,,,,,,
END_S5_GRP,,,LE,,,,,,,,,,,
LX_GRP,,,LS,,,,,,0 .. *,,,,,
LX,,,RC,,,,,,0 .. 1,,"""LX""","""LX""",,
,LX_RecordID,,RT,,,1,4,4,M,,,,,
,LX_FLR1,,AN,,,5,5,1,O,,,,,
,LX01,,N,,N0,6,11,6,O,,,,,
,LX_FILLER,,AN,,,12,1035,1024,O,,,,,
N9X,,,RC,,,,,,0 .. *,,,,,
,N9X_RecID,,RT,,,1,4,4,M,,"""N9X""","""N9X""",,
,N9X_FLR1,,AN,,,5,5,1,O,,,,,
,N9X01,,AN,,,6,8,3,O,,,,,
,N9X_FLR2,,AN,,,9,9,1,O,,,,,
,N9X02,,AN,,,10,39,30,O,,,,,
,N9X_FLR3,,AN,,,40,40,1,O,,,,,
,N9X03,,AN,,,41,85,45,O,,,,,
,N9X_FLR4,,AN,,,86,86,1,O,,,,,
,N9X04,,AN,,,87,94,8,O,,,,,
,N9X_FILLER,,AN,,,95,1118,1024,O,,,,,
POD,,,RC,,,,,,0 .. 1,,,,,
,POD_RecID,,RT,,,1,4,4,M,,"""POD""","""POD""",,
,POD_FLR1,,AN,,,5,5,1,O,,,,,
,POD01,,AN,,,6,13,8,O,,,,,
,POD_FLR2,,AN,,,14,14,1,O,,,,,
,POD02,,AN,,,15,22,8,O,,,,,
,POD_FLR3,,AN,,,23,23,1,O,,,,,
,POD03,,AN,,,24,83,60,O,,,,,
,POD_FILLER,,AN,,,84,1107,1024,O,,,,,
L11,,,RC,,,,,,0 .. 1,,,,,
,L11L_RecordID,,RT,,,1,4,4,M,,"""L11""","""L11""",,
,L11L_FLR1,,AN,,,5,5,1,O,,,,,
,L11L_L1101,,AN,,,6,55,50,O,,,,,
,L11L_FLR2,,AN,,,56,56,1,O,,,,,
,L11L_L1102,,AN,,,57,59,3,O,,,,,
,L11L_FLR3,,AN,,,60,60,1,O,,,,,
,L11L_L1103,,AN,,,61,140,80,O,,,,,
,L11L_FLR4,,AN,,,141,141,1,O,,,,,
,L11L_L1104,,DT,,YYYYMMDD,142,149,8,O,,,,,
,L11L_FLR5,,AN,,,150,150,1,O,,,,,
,L11L_L1105,,AN,,,151,151,1,O,,,,,
,L11L_FILLER,,AN,,,152,1175,1024,O,,,,,
L5,,,RC,,,,,,0 .. 1,,,,,
,L5_RecordID,,RT,,,1,4,4,M,,"""L5""","""L5""",,
,L5_FLR1,,AN,,,5,5,1,O,,,,,
,L501,,N,,N0,6,8,3,O,,,,,
,L5_FLR2,,AN,,,9,9,1,O,,,,,
,L502,,AN,,,10,59,50,O,,,,,
,L5_FLR3,,AN,,,60,60,1,O,,,,,
,L503,,AN,,,61,90,30,O,,,,,
,L5_FLR4,,AN,,,91,91,1,O,,,,,
,L504,,AN,,,92,92,1,O,,,,,
,L5_FLR5,,AN,,,93,93,1,O,,,,,
,L505,,AN,,,94,98,5,O,,,,,
,L5_FLR6,,AN,,,99,99,1,O,,,,,
,L506,,AN,,,100,147,48,O,,,,,
,L5_FLR7,,AN,,,148,148,1,O,,,,,
,L507,,AN,,,149,150,2,O,,,,,
,L5_FLR8,,AN,,,151,151,1,O,,,,,
,L508,,AN,,,152,152,1,O,,,,,
